2000,10
3000,20
4000,30
5000,40
6000,50
7000,60
8000,70
9000,80
10000,90
11000,100
12000,110
13000,120
14000,130
15000,140
16000,150
17000,160
18000,170
19000,180
20000,190
21000,200
22000,210
23000,220
24000,230
25000,240
26000,250
27000,260
28000,270
29000,280
30000,290
31000,300
32000,310
33000,320
34000,330
35000,340
36000,350
37000,360
38000,370
39000,380
40000,390
41000,400
42000,410
43000,420
44000,430
45000,440
46000,450
47000,460
48000,470
49000,480
50000,490
